ds,y
2022/1/3,55 
2022/1/10,55 
2022/1/17,49 
2022/1/24,62 
2022/1/31,40 
2022/2/7,25 
2022/2/14,11 
2022/2/21,3 
2022/2/28,2 
2022/3/7,5 
2022/3/14,4 
2022/3/21,4 
2022/3/28,4 
2022/4/4,9 
2022/4/11,14 
2022/4/18,12 
2022/4/25,25 
2022/5/2,10 
2022/5/9,13 
2022/5/16,23 
2022/5/23,50 
2022/5/30,51 
2022/6/6,66 
2022/6/13,94 
2022/6/20,184 
2022/6/27,315 
2022/7/4,567 
2022/7/11,641 
2022/7/18,796 
2022/7/25,1231 
2022/8/1,1259 
2022/8/8,1114 
2022/8/15,965 
2022/8/22,1324 
2022/8/29,1440 
2022/9/5,1376 
2022/9/12,1274 
2022/9/19,772 
2022/9/26,765 
2022/10/3,517 
2022/10/10,339 
2022/10/17,356 
2022/10/24,288 
2022/10/31,170 
2022/11/7,126 
2022/11/14,83 
2022/11/21,90 
2022/11/28,65 
2022/12/5,64 
2022/12/12,46 
2022/12/19,38 
2022/12/26,20 
2023/1/2,13 
2023/1/9,9 
2023/1/16,8 
2023/1/23,6 
2023/1/30,12 
2023/2/6,17 
2023/2/13,16 
2023/2/20,10 
2023/2/27,3 
2023/3/6,5 
2023/3/13,11 
2023/3/20,6 
2023/3/27,7 
2023/4/3,11 
2023/4/10,35 
2023/4/17,52 
2023/4/24,35 
2023/5/1,33 
2023/5/8,44 
2023/5/15,80 
2023/5/22,95 
2023/5/29,102 
2023/6/5,170 
2023/6/12,191 
2023/6/19,188 
2023/6/26,145 
2023/7/3,207 
2023/7/10,144 
2023/7/17,151 
2023/7/24,170 
2023/7/31,160 
2023/8/7,121 
2023/8/14,113 
2023/8/21,206 
2023/8/28,259 
2023/9/4,338 
2023/9/11,469 
2023/9/18,429 
2023/9/25,517 
2023/10/2,546 
2023/10/9,417 
2023/10/16,317 
2023/10/23,184 
2023/10/30,133 
2023/11/6,171 
2023/11/13,192 
2023/11/20,162 
2023/11/27,118 
2023/12/4,111 
2023/12/11,97 
2023/12/18,87 
2023/12/25,60 
2024/1/1,32 
2024/1/8,25 
2024/1/15,16 
2024/1/22,21 
2024/1/29,16 
2024/2/5,21 
2024/2/12,13 
2024/2/19,10 
2024/2/26,4 
2024/3/4,1 
2024/3/11,8 
2024/3/18,4 
2024/3/25,16 
2024/4/1,25 
2024/4/8,11 
2024/4/15,22 
2024/4/22,26 
2024/4/29,45 
2024/5/6,70 
2024/5/13,140 
2024/5/20,277 
2024/5/27,457 
2024/6/3,742 
2024/6/10,1076 
2024/6/17,1567 
2024/6/24,2609 
