ds,y
2022/1/3,23.3
2022/1/10,21.8
2022/1/17,17.9
2022/1/24,14.0
2022/1/31,10.0
2022/2/7,21.1
2022/2/14,18.9
2022/2/21,18.9
2022/2/28,16.9
2022/3/7,9.0
2022/3/14,10.0
2022/3/21,9.0
2022/3/28,22.8
2022/4/4,20.1
2022/4/11,32.1
2022/4/18,32.9
2022/4/25,41.8
2022/5/2,47.8
2022/5/9,60.8
2022/5/16,95.6
2022/5/23,143.0
2022/5/30,220.3
2022/6/6,266.0
2022/6/13,359.2
2022/6/20,449.0
2022/6/27,617.6
2022/7/4,1090.0
2022/7/11,1791.5
2022/7/18,2301.0
2022/7/25,2831.3
2022/8/1,3089.7
2022/8/8,2863.5
2022/8/15,2102.9
2022/8/22,2460.1
2022/8/29,2184.7
2022/9/5,1572.0
2022/9/12,1726.8
2022/9/19,1075.0
2022/9/26,1026.0
2022/10/3,868.7
2022/10/10,653.5
2022/10/17,618.3
2022/10/24,697.0
2022/10/31,472.2
2022/11/7,366.2
2022/11/14,301.0
2022/11/21,299.9
2022/11/28,207.4
2022/12/5,183.3
2022/12/12,152.4
2022/12/19,96.6
2022/12/26,27.3
2023/1/2,32.1
2023/1/9,29.9
2023/1/16,27.9
2023/1/23,24.0
2023/1/30,37.0
2023/2/6,19.9
2023/2/13,18.9
2023/2/20,17.1
2023/2/27,12.0
2023/3/6,30.2
2023/3/13,22.2
2023/3/20,16.1
2023/3/27,15.4
2023/4/3,12.1
2023/4/10,16.2
2023/4/17,14.2
2023/4/24,15.3
2023/5/1,34.1
2023/5/8,83.6
2023/5/15,109.4
2023/5/22,173.0
2023/5/29,252.0
2023/6/5,431.3
2023/6/12,713.5
2023/6/19,1330.1
2023/6/26,2537.7
2023/7/3,3873.8
2023/7/10,3966.8
2023/7/17,4871.3
2023/7/24,3233.8
2023/7/31,2072.9
2023/8/7,714.5
2023/8/14,736.9
2023/8/21,664.3
2023/8/28,684.6
2023/9/4,698.7
2023/9/11,657.5
2023/9/18,684.6
2023/9/25,695.0
2023/10/2,604.6
2023/10/9,511.0
2023/10/16,453.0
2023/10/23,528.0
2023/10/30,492.9
2023/11/6,418.6
2023/11/13,392.0
2023/11/20,435.7
2023/11/27,374.0
2023/12/4,305.0
2023/12/11,246.0
2023/12/18,203.0
2023/12/25,151.8
2024/1/1,32.0
2024/1/8,25.0
2024/1/15,16.0
2024/1/22,21.0
2024/1/29,16.0
2024/2/5,21.0
2024/2/12,13.0
2024/2/19,10.0
2024/2/26,4.0
2024/3/4,1.0
2024/3/11,8.0
2024/3/18,4.0
2024/3/25,16.0
2024/4/1,25.0
2024/4/8,11.0
2024/4/15,22.0
2024/4/22,26.0
2024/4/29,45.0
2024/5/6,70.0
2024/5/13,140.0
2024/5/20,277.0
2024/5/27,457.0
2024/6/3,742.0
2024/6/10,1076.0
2024/6/17,1567.0
2024/6/24,2609.0
2024/7/1,3689.0
2024/7/8,4326.0
2024/7/15,3679.0
2024/7/22,3603.0
2024/7/29,2790.0
2024/8/5,1983.0
2024/8/12,987.0
2024/8/19,1166.0
2024/8/26,1589.0
