ds,y
2022/1/3,21 
2022/1/10,7 
2022/1/17,7 
2022/1/24,11 
2022/1/31,1 
2022/2/7,1 
2022/2/14,0 
2022/2/21,0 
2022/2/28,1 
2022/3/7,2 
2022/3/14,2 
2022/3/21,4 
2022/3/28,3 
2022/4/4,4 
2022/4/11,0 
2022/4/18,5 
2022/4/25,1 
2022/5/2,2 
2022/5/9,10 
2022/5/16,2 
2022/5/23,8 
2022/5/30,6 
2022/6/6,18 
2022/6/13,27 
2022/6/20,64 
2022/6/27,131 
2022/7/4,197 
2022/7/11,256 
2022/7/18,254 
2022/7/25,384 
2022/8/1,375 
2022/8/8,248 
2022/8/15,201 
2022/8/22,370 
2022/8/29,327 
2022/9/5,329 
2022/9/12,318 
2022/9/19,148 
2022/9/26,179 
2022/10/3,96 
2022/10/10,76 
2022/10/17,98 
2022/10/24,69 
2022/10/31,36 
2022/11/7,34 
2022/11/14,28 
2022/11/21,20 
2022/11/28,8 
2022/12/5,9 
2022/12/12,7 
2022/12/19,8 
2022/12/26,10 
2023/1/2,3 
2023/1/9,1 
2023/1/16,8 
2023/1/23,2 
2023/1/30,3 
2023/2/6,4 
2023/2/13,6 
2023/2/20,0 
2023/2/27,1 
2023/3/6,2 
2023/3/13,3 
2023/3/20,2 
2023/3/27,5 
2023/4/3,10 
2023/4/10,16 
2023/4/17,48 
2023/4/24,34 
2023/5/1,43 
2023/5/8,64 
2023/5/15,159 
2023/5/22,336 
2023/5/29,640 
2023/6/5,1007 
2023/6/12,1584 
2023/6/19,2015 
2023/6/26,2136 
2023/7/3,2088 
2023/7/10,1716 
2023/7/17,971 
2023/7/24,840 
2023/7/31,528 
2023/8/7,320 
2023/8/14,136 
2023/8/21,181 
2023/8/28,202 
2023/9/4,166 
2023/9/11,156 
2023/9/18,122 
2023/9/25,153 
2023/10/2,126 
2023/10/9,54 
2023/10/16,51 
2023/10/23,25 
2023/10/30,17 
2023/11/6,27 
2023/11/13,17 
2023/11/20,15 
2023/11/27,10 
2023/12/4,4 
2023/12/11,9 
2023/12/18,7 
2023/12/25,4 
2024/1/1,2 
2024/1/8,4 
2024/1/15,3 
2024/1/22,1 
2024/1/29,2 
2024/2/5,1 
2024/2/12,4 
2024/2/19,1 
2024/2/26,4 
2024/3/4,3 
2024/3/11,3 
2024/3/18,2 
2024/3/25,5 
2024/4/1,3 
2024/4/8,4 
2024/4/15,3 
2024/4/22,10 
2024/4/29,6 
2024/5/6,5 
2024/5/13,31 
2024/5/20,64 
2024/5/27,86 
2024/6/3,173 
2024/6/10,206 
2024/6/17,355 
2024/6/24,632 
