ds,y
2022/1/3,4
2022/1/10,4
2022/1/17,3
2022/1/24,4
2022/1/31,0
2022/2/7,0
2022/2/14,0
2022/2/21,0
2022/2/28,1
2022/3/7,1
2022/3/14,0
2022/3/21,0
2022/3/28,0
2022/4/4,1
2022/4/11,0
2022/4/18,2
2022/4/25,0
2022/5/2,2
2022/5/9,3
2022/5/16,1
2022/5/23,0
2022/5/30,0
2022/6/6,3
2022/6/13,0
2022/6/20,0
2022/6/27,0
2022/7/4,0
2022/7/11,6
2022/7/18,6
2022/7/25,15
2022/8/1,23
2022/8/8,13
2022/8/15,8
2022/8/22,5
2022/8/29,8
2022/9/5,7
2022/9/12,8
2022/9/19,7
2022/9/26,5
2022/10/3,2
2022/10/10,2
2022/10/17,2
2022/10/24,9
2022/10/31,31
2022/11/7,84
2022/11/14,125
2022/11/21,72
2022/11/28,107
2022/12/5,203
2022/12/12,462
2022/12/19,940
2022/12/26,1139
2023/1/2,1475
2023/1/9,2174
2023/1/16,3518
2023/1/23,3790
2023/1/30,4033
2023/2/6,4008
2023/2/13,4138
2023/2/20,3499
2023/2/27,3449
2023/3/6,4291
2023/3/13,3158
2023/3/20,2144
2023/3/27,1487
2023/4/3,953
2023/4/10,793
2023/4/17,756
2023/4/24,630
2023/5/1,455
2023/5/8,397
2023/5/15,838
2023/5/22,785
2023/5/29,706
2023/6/5,701
2023/6/12,550
2023/6/19,412
2023/6/26,382
2023/7/3,507
2023/7/10,514
2023/7/17,413
2023/7/24,500
2023/7/31,513
2023/8/7,416
2023/8/14,375
2023/8/21,576
2023/8/28,1226
2023/9/4,2481
2023/9/11,4742
2023/9/18,5060
2023/9/25,6913
2023/10/2,6873
2023/10/9,6733
2023/10/16,9058
2023/10/23,8282
2023/10/30,7086
2023/11/6,4779
2023/11/13,5082
2023/11/20,6800
2023/11/27,6259
2023/12/4,8405
2023/12/11,8477
2023/12/18,7486
2023/12/25,7714
2024/1/1,3164
2024/1/8,4192
2024/1/15,6725
2024/1/22,7672
2024/1/29,8398
2024/2/5,9475
2024/2/12,8909
2024/2/19,6964
2024/2/26,5214
2024/3/4,5588
2024/3/11,5847
2024/3/18,4777
2024/3/25,3903
2024/4/1,1744
2024/4/8,819
2024/4/15,504
2024/4/22,298
2024/4/29,142
2024/5/6,82
2024/5/13,73
2024/5/20,60
2024/5/27,53
2024/6/3,62
2024/6/10,81
2024/6/17,78
2024/6/24,76
