ds,y
2022/1/1,2.9 
2022/1/2,3.0 
2022/1/3,4.8 
2022/1/4,4.5 
2022/1/5,3.6 
2022/1/6,0.6 
2022/1/7,2.3 
2022/1/8,3.9 
2022/1/9,5.5 
2022/1/10,6.7 
2022/1/11,4.9 
2022/1/12,4.3 
2022/1/13,4.9 
2022/1/14,3.8 
2022/1/15,4.8 
2022/1/16,4.7 
2022/1/17,5.2 
2022/1/18,3.8 
2022/1/19,3.2 
2022/1/20,2.9 
2022/1/21,2.6 
2022/1/22,3.9 
2022/1/23,4.4 
2022/1/24,5.5 
2022/1/25,4.5 
2022/1/26,4.8 
2022/1/27,5.9 
2022/1/28,5.7 
2022/1/29,5.1 
2022/1/30,4.5 
2022/1/31,4.2 
2022/2/1,4.9 
2022/2/2,4.8 
2022/2/3,5.0 
2022/2/4,4.2 
2022/2/5,3.0 
2022/2/6,2.0 
2022/2/7,3.9 
2022/2/8,4.6 
2022/2/9,5.4 
2022/2/10,2.0 
2022/2/11,3.6 
2022/2/12,4.1 
2022/2/13,2.7 
2022/2/14,3.4 
2022/2/15,4.8 
2022/2/16,5.2 
2022/2/17,4.0 
2022/2/18,4.9 
2022/2/19,4.3 
2022/2/20,5.1 
2022/2/21,3.6 
2022/2/22,3.8 
2022/2/23,3.8 
2022/2/24,4.2 
2022/2/25,5.6 
2022/2/26,7.5 
2022/2/27,8.2 
2022/2/28,8.5 
2022/3/1,9.5 
2022/3/2,9.7 
2022/3/3,8.2 
2022/3/4,7.0 
2022/3/5,9.7 
2022/3/6,7.0 
2022/3/7,7.2 
2022/3/8,5.5 
2022/3/9,6.8 
2022/3/10,7.8 
2022/3/11,10.4 
2022/3/12,12.7 
2022/3/13,12.7 
2022/3/14,14.2 
2022/3/15,11.0 
2022/3/16,12.2 
2022/3/17,12.2 
2022/3/18,4.5 
2022/3/19,8.8 
2022/3/20,8.6 
2022/3/21,8.3 
2022/3/22,3.2 
2022/3/23,4.5 
2022/3/24,7.1 
2022/3/25,10.6 
2022/3/26,14.0 
2022/3/27,14.0 
2022/3/28,11.7 
2022/3/29,8.8 
2022/3/30,12.6 
2022/3/31,13.1 
2022/4/1,6.6 
2022/4/2,7.4 
2022/4/3,7.1 
2022/4/4,7.4 
2022/4/5,10.9 
2022/4/6,13.4 
2022/4/7,12.4 
2022/4/8,13.3 
2022/4/9,14.9 
2022/4/10,17.0 
2022/4/11,16.4 
