ds,y
2022/1/1,32.0 
2022/1/2,52.0 
2022/1/3,56.0 
2022/1/4,56.0 
2022/1/5,37.0 
2022/1/6,74.0 
2022/1/7,64.0 
2022/1/8,53.0 
2022/1/9,53.0 
2022/1/10,60.0 
2022/1/11,91.0 
2022/1/12,46.0 
2022/1/13,44.0 
2022/1/14,38.0 
2022/1/15,39.0 
2022/1/16,60.0 
2022/1/17,58.0 
2022/1/18,39.0 
2022/1/19,44.0 
2022/1/20,53.0 
2022/1/21,43.0 
2022/1/22,43.0 
2022/1/23,54.0 
2022/1/24,53.0 
2022/1/25,57.0 
2022/1/26,83.0 
2022/1/27,53.0 
2022/1/28,41.0 
2022/1/29,49.0 
2022/1/30,44.0 
2022/1/31,36.0 
2022/2/1,46.0 
2022/2/2,45.0 
2022/2/3,42.0 
2022/2/4,50.0 
2022/2/5,45.0 
2022/2/6,45.0 
2022/2/7,36.0 
2022/2/8,55.0 
2022/2/9,50.0 
2022/2/10,90.0 
2022/2/11,77.0 
2022/2/12,62.0 
2022/2/13,86.0 
2022/2/14,77.0 
2022/2/15,72.0 
2022/2/16,60.0 
2022/2/17,34.0 
2022/2/18,41.0 
2022/2/19,72.0 
2022/2/20,77.0 
2022/2/21,34.0 
2022/2/22,38.0 
2022/2/23,38.0 
2022/2/24,34.0 
2022/2/25,34.0 
2022/2/26,47.0 
2022/2/27,44.0 
2022/2/28,41.0 
2022/3/1,51.0 
2022/3/2,57.0 
2022/3/3,64.0 
2022/3/4,49.0 
2022/3/5,55.0 
2022/3/6,33.0 
2022/3/7,35.0 
2022/3/8,74.0 
2022/3/9,58.0 
2022/3/10,57.0 
2022/3/11,59.0 
2022/3/12,48.0 
2022/3/13,65.0 
2022/3/14,70.0 
2022/3/15,65.0 
2022/3/16,64.0 
2022/3/17,62.0 
2022/3/18,91.0 
2022/3/19,82.0 
2022/3/20,59.0 
2022/3/21,62.0 
2022/3/22,92.0 
2022/3/23,66.0 
2022/3/24,73.0 
2022/3/25,54.0 
2022/3/26,80.0 
2022/3/27,72.0 
2022/3/28,49.0 
2022/3/29,55.0 
2022/3/30,77.0 
2022/3/31,76.0 
2022/4/1,63.0 
2022/4/2,51.0 
2022/4/3,84.0 
2022/4/4,97.0 
2022/4/5,78.0 
2022/4/6,73.0 
2022/4/7,72.0 
2022/4/8,57.0 
2022/4/9,65.0 
2022/4/10,60.0 
2022/4/11,73.0 
2022/4/12,70.0 
2022/4/13,75.0 
2022/4/14,90.0 
2022/4/15,97.0 
2022/4/16,76.0 
2022/4/17,68.0 
2022/4/18,84.0 
2022/4/19,75.0 
2022/4/20,84.0 
2022/4/21,76.0 
2022/4/22,82.0 
2022/4/23,74.0 
2022/4/24,81.0 
2022/4/25,77.0 
2022/4/26,89.0 
2022/4/27,79.0 
2022/4/28,57.0 
2022/4/29,86.0 
2022/4/30,64.0 
2022/5/1,83.0 
2022/5/2,74.0 
2022/5/3,63.0 
2022/5/4,60.0 
2022/5/5,65.0 
2022/5/6,71.0 
2022/5/7,87.0 
2022/5/8,59.0 
2022/5/9,80.0 
2022/5/10,64.0 
2022/5/11,63.0 
2022/5/12,87.0 
2022/5/13,100.0 
2022/5/14,87.0 
2022/5/15,67.0 
2022/5/16,95.0 
2022/5/17,90.0 
2022/5/18,73.0 
2022/5/19,60.0 
2022/5/20,72.0 
2022/5/21,91.0 
2022/5/22,79.0 
2022/5/23,72.0 
2022/5/24,72.0 
2022/5/25,71.0 
2022/5/26,72.0 
2022/5/27,91.0 
2022/5/28,62.0 
2022/5/29,53.0 
2022/5/30,70.0 
2022/5/31,91.0 
2022/6/1,60.0 
2022/6/2,70.0 
2022/6/3,83.0 
2022/6/4,68.0 
2022/6/5,76.0 
2022/6/6,97.0 
2022/6/7,90.0 
2022/6/8,82.0 
2022/6/9,83.0 
2022/6/10,78.0 
2022/6/11,80.0 
2022/6/12,72.0 
2022/6/13,53.0 
2022/6/14,80.0 
2022/6/15,95.0 
2022/6/16,87.0 
2022/6/17,83.0 
2022/6/18,90.0 
2022/6/19,83.0 
2022/6/20,81.0 
2022/6/21,80.0 
2022/6/22,87.0 
2022/6/23,87.0 
2022/6/24,75.0 
2022/6/25,67.0 
2022/6/26,61.0 
2022/6/27,65.0 
2022/6/28,71.0 
2022/6/29,71.0 
2022/6/30,66.0 
2022/7/1,68.0 
2022/7/2,72.0 
2022/7/3,74.0 
2022/7/4,81.0 
2022/7/5,81.0 
2022/7/6,82.0 
2022/7/7,77.0 
2022/7/8,67.0 
2022/7/9,68.0 
2022/7/10,75.0 
2022/7/11,75.0 
2022/7/12,85.0 
2022/7/13,98.0 
2022/7/14,95.0 
2022/7/15,99.0 
2022/7/16,100.0 
2022/7/17,89.0 
2022/7/18,79.0 
2022/7/19,83.0 
2022/7/20,65.0 
2022/7/21,74.0 
2022/7/22,81.0 
2022/7/23,74.0 
2022/7/24,73.0 
2022/7/25,73.0 
2022/7/26,94.0 
2022/7/27,76.0 
2022/7/28,80.0 
2022/7/29,76.0 
2022/7/30,75.0 
2022/7/31,74.0 
2022/8/1,72.0 
2022/8/2,71.0 
2022/8/3,75.0 
2022/8/4,89.0 
2022/8/5,83.0 
2022/8/6,73.0 
2022/8/7,80.0 
2022/8/8,75.0 
2022/8/9,69.0 
2022/8/10,70.0 
2022/8/11,75.0 
2022/8/12,81.0 
2022/8/13,94.0 
2022/8/14,84.0 
2022/8/15,78.0 
2022/8/16,70.0 
2022/8/17,77.0 
2022/8/18,81.0 
2022/8/19,62.0 
2022/8/20,82.0 
2022/8/21,87.0 
2022/8/22,82.0 
2022/8/23,83.0 
2022/8/24,79.0 
2022/8/25,77.0 
2022/8/26,89.0 
2022/8/27,80.0 
2022/8/28,87.0 
2022/8/29,69.0 
2022/8/30,88.0 
2022/8/31,85.0 
2022/9/1,90.0 
2022/9/2,98.0 
2022/9/3,84.0 
2022/9/4,81.0 
2022/9/5,80.0 
2022/9/6,82.0 
2022/9/7,90.0 
2022/9/8,91.0 
2022/9/9,87.0 
2022/9/10,70.0 
2022/9/11,72.0 
2022/9/12,74.0 
2022/9/13,83.0 
2022/9/14,76.0 
2022/9/15,70.0 
2022/9/16,65.0 
2022/9/17,73.0 
2022/9/18,99.0 
2022/9/19,92.0 
2022/9/20,94.0 
2022/9/21,75.0 
2022/9/22,69.0 
2022/9/23,91.0 
2022/9/24,100.0 
2022/9/25,75.0 
2022/9/26,75.0 
2022/9/27,76.0 
2022/9/28,63.0 
2022/9/29,73.0 
2022/9/30,71.0 
2022/10/1,67.0 
2022/10/2,64.0 
2022/10/3,77.0 
2022/10/4,71.0 
2022/10/5,88.0 
2022/10/6,92.0 
2022/10/7,94.0 
2022/10/8,86.0 
2022/10/9,84.0 
2022/10/10,95.0 
2022/10/11,65.0 
2022/10/12,68.0 
2022/10/13,91.0 
2022/10/14,91.0 
2022/10/15,79.0 
2022/10/16,82.0 
2022/10/17,93.0 
2022/10/18,85.0 
2022/10/19,70.0 
2022/10/20,58.0 
2022/10/21,68.0 
2022/10/22,77.0 
2022/10/23,71.0 
2022/10/24,77.0 
2022/10/25,58.0 
2022/10/26,59.0 
2022/10/27,65.0 
2022/10/28,73.0 
2022/10/29,59.0 
2022/10/30,58.0 
2022/10/31,62.0 
2022/11/1,69.0 
2022/11/2,72.0 
2022/11/3,70.0 
2022/11/4,73.0 
2022/11/5,56.0 
2022/11/6,61.0 
2022/11/7,70.0 
2022/11/8,55.0 
2022/11/9,58.0 
2022/11/10,64.0 
2022/11/11,66.0 
2022/11/12,77.0 
2022/11/13,82.0 
2022/11/14,52.0 
2022/11/15,93.0 
2022/11/16,66.0 
2022/11/17,58.0 
2022/11/18,67.0 
2022/11/19,61.0 
2022/11/20,80.0 
2022/11/21,93.0 
2022/11/22,74.0 
2022/11/23,93.0 
2022/11/24,66.0 
2022/11/25,67.0 
2022/11/26,81.0 
2022/11/27,54.0 
2022/11/28,65.0 
2022/11/29,84.0 
2022/11/30,81.0 
2022/12/1,74.0 
2022/12/2,60.0 
2022/12/3,67.0 
2022/12/4,66.0 
2022/12/5,78.0 
2022/12/6,94.0 
2022/12/7,71.0 
2022/12/8,62.0 
2022/12/9,66.0 
2022/12/10,65.0 
2022/12/11,72.0 
2022/12/12,59.0 
2022/12/13,87.0 
2022/12/14,52.0 
2022/12/15,47.0 
2022/12/16,51.0 
2022/12/17,64.0 
2022/12/18,57.0 
2022/12/19,38.0 
2022/12/20,48.0 
2022/12/21,60.0 
2022/12/22,86.0 
2022/12/23,29.0 
2022/12/24,42.0 
2022/12/25,49.0 
2022/12/26,46.0 
2022/12/27,48.0 
2022/12/28,61.0 
2022/12/29,51.0 
2022/12/30,51.0 
2022/12/31,60.0 
2023/1/1,62.0 
2023/1/2,51.0 
2023/1/3,42.0 
2023/1/4,47.0 
2023/1/5,36.0 
2023/1/6,47.0 
2023/1/7,59.0 
2023/1/8,58.0 
2023/1/9,61.0 
2023/1/10,42.0 
2023/1/11,52.0 
2023/1/12,52.0 
2023/1/13,60.0 
2023/1/14,81.0 
2023/1/15,84.0 
2023/1/16,90.0 
2023/1/17,65.0 
2023/1/18,64.0 
2023/1/19,61.0 
2023/1/20,63.0 
2023/1/21,37.0 
2023/1/22,51.0 
