Y,date
58,2019/1/1
270,2019/1/8
270,2019/1/15
333,2019/1/22
319,2019/1/29
301,2019/2/5
242,2019/2/12
348,2019/2/19
347,2019/2/26
366,2019/3/5
383,2019/3/12
305,2019/3/19
223,2019/3/26
223,2019/4/2
305,2019/4/9
379,2019/4/16
432,2019/4/23
96,2019/4/30
293,2019/5/7
493,2019/5/14
438,2019/5/21
462,2019/5/28
397,2019/6/4
384,2019/6/11
437,2019/6/18
355,2019/6/25
363,2019/7/2
291,2019/7/9
262,2019/7/16
261,2019/7/23
182,2019/7/30
141,2019/8/6
82,2019/8/13
153,2019/8/20
157,2019/8/27
196,2019/9/3
185,2019/9/10
193,2019/9/17
217,2019/9/24
249,2019/10/1
245,2019/10/8
223,2019/10/15
266,2019/10/22
323,2019/10/29
256,2019/11/5
395,2019/11/12
323,2019/11/19
492,2019/11/26
509,2019/12/3
548,2019/12/10
526,2019/12/17
441,2019/12/24
45,2019/12/31
327,2020/1/7
332,2020/1/14
467,2020/1/21
533,2020/1/28
523,2020/2/4
452,2020/2/11
515,2020/2/18
400,2020/2/25
409,2020/3/3
289,2020/3/10
210,2020/3/17
196,2020/3/24
147,2020/3/31
114,2020/4/7
68,2020/4/14
43,2020/4/21
51,2020/4/28
34,2020/5/5
45,2020/5/12
32,2020/5/19
35,2020/5/26
52,2020/6/2
41,2020/6/9
49,2020/6/16
62,2020/6/23
78,2020/6/30
95,2020/7/7
93,2020/7/14
76,2020/7/21
67,2020/7/28
51,2020/8/4
26,2020/8/11
43,2020/8/18
32,2020/8/25
46,2020/9/1
60,2020/9/8
67,2020/9/15
37,2020/9/22
67,2020/9/29
70,2020/10/6
64,2020/10/13
77,2020/10/20
63,2020/10/27
59,2020/11/3
64,2020/11/10
72,2020/11/17
48,2020/11/24
67,2020/12/1
69,2020/12/8
55,2020/12/15
65,2020/12/22
22,2020/12/29
44,2021/1/5
48,2021/1/12
50,2021/1/19
40,2021/1/26
57,2021/2/2
45,2021/2/9
43,2021/2/16
40,2021/2/23
54,2021/3/2
49,2021/3/9
42,2021/3/16
49,2021/3/23
44,2021/3/30
48,2021/4/6
48,2021/4/13
39,2021/4/20
51,2021/4/27
30,2021/5/4
37,2021/5/11
54,2021/5/18
44,2021/5/25
53,2021/6/1
55,2021/6/8
54,2021/6/15
47,2021/6/22
34,2021/6/29
48,2021/7/6
45,2021/7/13
33,2021/7/20
34,2021/7/27
40,2021/8/3
28,2021/8/10
31,2021/8/17
27,2021/8/24
22,2021/8/31
23,2021/9/7
26,2021/9/14
13,2021/9/21
34,2021/9/28
35,2021/10/5
30,2021/10/12
40,2021/10/19
45,2021/10/26
35,2021/11/2
39,2021/11/9
52,2021/11/16
54,2021/11/23
74,2021/11/30
48,2021/12/7
58,2021/12/14
55,2021/12/21
27,2021/12/28
28,2022/1/4
40,2022/1/11
34,2022/1/18
20,2022/1/25
20,2022/2/1
12,2022/2/8
15,2022/2/15
6,2022/2/22
6,2022/3/1
20,2022/3/8
20,2022/3/15
9,2022/3/22
24,2022/3/29
11,2022/4/5
14,2022/4/12
17,2022/4/19
15,2022/4/26
15,2022/5/3
22,2022/5/10
24,2022/5/17
21,2022/5/24
37,2022/5/31
28,2022/6/7
22,2022/6/14
22,2022/6/21
29,2022/6/28
32,2022/7/5
32,2022/7/12
21,2022/7/19
22,2022/7/26
12,2022/8/2
9,2022/8/9
9,2022/8/16
16,2022/8/23
20,2022/8/30
19,2022/9/6
16,2022/9/13
21,2022/9/20
28,2022/9/27
24,2022/10/4
12,2022/10/11
25,2022/10/18
38,2022/10/25
28,2022/11/1
31,2022/11/8
29,2022/11/15
43,2022/11/22
34,2022/11/29
28,2022/12/6
30,2022/12/13
28,2022/12/20
25,2022/12/27
12,2023/1/3
29,2023/1/10
29,2023/1/17
33,2023/1/24
36,2023/1/31
48,2023/2/7
55,2023/2/14
49,2023/2/21
50,2023/2/28
62,2023/3/7
67,2023/3/14
62,2023/3/21
52,2023/3/28
54,2023/4/4
79,2023/4/11
121,2023/4/18
102,2023/4/25
96,2023/5/2
178,2023/5/9
242,2023/5/16
247,2023/5/23
285,2023/5/30
272,2023/6/6
273,2023/6/13
247,2023/6/20
246,2023/6/27
192,2023/7/4
181,2023/7/11
151,2023/7/18
194,2023/7/25
177,2023/8/1
137,2023/8/8
