Y,date
1,2020/2/3
1,2020/2/10
2,2020/2/17
2,2020/2/24
1,2020/3/2
4,2020/3/9
4,2020/3/16
9,2020/3/23
42,2020/3/30
97,2020/4/6
157,2020/4/13
148,2020/4/20
113,2020/4/27
103,2020/5/4
33,2020/5/11
15,2020/5/18
7,2020/5/25
13,2020/6/1
21,2020/6/8
28,2020/6/15
32,2020/6/22
52,2020/6/29
99,2020/7/6
168,2020/7/13
219,2020/7/20
252,2020/7/27
338,2020/8/3
336,2020/8/10
259,2020/8/17
222,2020/8/24
198,2020/8/31
147,2020/9/7
176,2020/9/14
175,2020/9/21
147,2020/9/28
173,2020/10/5
177,2020/10/12
179,2020/10/19
155,2020/10/26
167,2020/11/2
212,2020/11/9
309,2020/11/16
440,2020/11/23
419,2020/11/30
439,2020/12/7
505,2020/12/14
616,2020/12/21
752,2020/12/28
934,2021/1/4
1861,2021/1/11
1536,2021/1/18
1127,2021/1/25
819,2021/2/1
555,2021/2/8
379,2021/2/15
329,2021/2/22
269,2021/3/1
253,2021/3/8
288,2021/3/15
303,2021/3/22
358,2021/3/29
391,2021/4/5
476,2021/4/12
600,2021/4/19
729,2021/4/26
874,2021/5/3
779,2021/5/10
785,2021/5/17
638,2021/5/24
546,2021/5/31
423,2021/6/7
380,2021/6/14
392,2021/6/21
490,2021/6/28
586,2021/7/5
757,2021/7/12
1101,2021/7/19
1566,2021/7/26
3284,2021/8/2
4245,2021/8/9
4424,2021/8/16
4799,2021/8/23
3797,2021/8/30
2419,2021/9/6
1337,2021/9/13
774,2021/9/20
344,2021/9/27
197,2021/10/4
108,2021/10/11
56,2021/10/18
28,2021/10/25
22,2021/11/1
21,2021/11/8
23,2021/11/15
17,2021/11/22
14,2021/11/29
16,2021/12/6
17,2021/12/13
25,2021/12/20
39,2021/12/27
76,2022/1/3
775,2022/1/10
3255,2022/1/17
8585,2022/1/24
15164,2022/1/31
18194,2022/2/7
15446,2022/2/14
14586,2022/2/21
11260,2022/2/28
10392,2022/3/7
8632,2022/3/14
7449,2022/3/21
6565,2022/3/28
7607,2022/4/4
7596,2022/4/11
6568,2022/4/18
5419,2022/4/25
4133,2022/5/2
3270,2022/5/9
3866,2022/5/16
3510,2022/5/23
2758,2022/5/30
1984,2022/6/6
1606,2022/6/13
1620,2022/6/20
2081,2022/6/27
3380,2022/7/4
8054,2022/7/11
16216,2022/7/18
25927,2022/7/25
32116,2022/8/1
31151,2022/8/8
26379,2022/8/15
24743,2022/8/22
18801,2022/8/29
12286,2022/9/5
9475,2022/9/12
8153,2022/9/19
6293,2022/9/26
3893,2022/10/3
3027,2022/10/10
3095,2022/10/17
3217,2022/10/24
3765,2022/10/31
5773,2022/11/7
7502,2022/11/14
8744,2022/11/21
10553,2022/11/28
11688,2022/12/5
13125,2022/12/12
15884,2022/12/19
17202,2022/12/26
14731,2023/1/2
14945,2023/1/9
10333,2023/1/16
7003,2023/1/23
4623,2023/1/30
3100,2023/2/6
1886,2023/2/13
1352,2023/2/20
930,2023/2/27
819,2023/3/6
744,2023/3/13
652,2023/3/20
705,2023/3/27
859,2023/4/3
1068,2023/4/10
1112,2023/4/17
1327,2023/4/24
