Y,date
4,2000/1/3
4,2000/1/10
2,2000/1/17
4,2000/1/24
4,2000/1/31
3,2000/2/7
2,2000/2/14
3,2000/2/21
5,2000/2/28
6,2000/3/6
2,2000/3/13
5,2000/3/20
2,2000/3/27
2,2000/4/3
2,2000/4/10
3,2000/4/17
0,2000/4/24
1,2000/5/1
1,2000/5/8
1,2000/5/15
4,2000/5/22
4,2000/5/29
2,2000/6/5
1,2000/6/12
6,2000/6/19
1,2000/6/26
2,2000/7/3
4,2000/7/10
2,2000/7/17
3,2000/7/24
1,2000/7/31
1,2000/8/7
0,2000/8/14
1,2000/8/21
3,2000/8/28
1,2000/9/4
2,2000/9/11
2,2000/9/18
2,2000/9/25
2,2000/10/2
2,2000/10/9
1,2000/10/16
1,2000/10/23
2,2000/10/30
5,2000/11/6
5,2000/11/13
2,2000/11/20
2,2000/11/27
2,2000/12/4
1,2000/12/11
2,2000/12/18
0,2000/12/25
2,2001/1/1
0,2001/1/8
1,2001/1/15
4,2001/1/22
2,2001/1/29
2,2001/2/5
4,2001/2/12
1,2001/2/19
1,2001/2/26
4,2001/3/5
5,2001/3/12
3,2001/3/19
1,2001/3/26
0,2001/4/2
1,2001/4/9
1,2001/4/16
1,2001/4/23
3,2001/4/30
1,2001/5/7
1,2001/5/14
1,2001/5/21
3,2001/5/28
2,2001/6/4
2,2001/6/11
2,2001/6/18
2,2001/6/25
0,2001/7/2
2,2001/7/9
1,2001/7/16
1,2001/7/23
2,2001/7/30
5,2001/8/6
3,2001/8/13
2,2001/8/20
2,2001/8/27
0,2001/9/3
2,2001/9/10
5,2001/9/17
1,2001/9/24
2,2001/10/1
2,2001/10/8
2,2001/10/15
3,2001/10/22
1,2001/10/29
0,2001/11/5
1,2001/11/12
3,2001/11/19
2,2001/11/26
0,2001/12/3
4,2001/12/10
1,2001/12/17
5,2001/12/24
0,2001/12/31
2,2002/1/7
5,2002/1/14
2,2002/1/21
2,2002/1/28
3,2002/2/4
1,2002/2/11
1,2002/2/18
2,2002/2/25
0,2002/3/4
0,2002/3/11
0,2002/3/18
0,2002/3/25
1,2002/4/1
1,2002/4/8
0,2002/4/15
1,2002/4/22
0,2002/4/29
0,2002/5/6
2,2002/5/13
0,2002/5/20
1,2002/5/27
2,2002/6/3
0,2002/6/10
1,2002/6/17
3,2002/6/24
1,2002/7/1
1,2002/7/8
1,2002/7/15
1,2002/7/22
1,2002/7/29
0,2002/8/5
1,2002/8/12
0,2002/8/19
4,2002/8/26
2,2002/9/2
1,2002/9/9
1,2002/9/16
2,2002/9/23
3,2002/9/30
1,2002/10/7
1,2002/10/14
1,2002/10/21
1,2002/10/28
0,2002/11/4
0,2002/11/11
0,2002/11/18
2,2002/11/25
1,2002/12/2
1,2002/12/9
2,2002/12/16
2,2002/12/23
0,2002/12/30
0,2003/1/6
1,2003/1/13
2,2003/1/20
4,2003/1/27
0,2003/2/3
0,2003/2/10
3,2003/2/17
2,2003/2/24
1,2003/3/3
3,2003/3/10
1,2003/3/17
3,2003/3/24
0,2003/3/31
0,2003/4/7
3,2003/4/14
1,2003/4/21
3,2003/4/28
1,2003/5/5
1,2003/5/12
2,2003/5/19
2,2003/5/26
2,2003/6/2
2,2003/6/9
1,2003/6/16
0,2003/6/23
1,2003/6/30
4,2003/7/7
1,2003/7/14
0,2003/7/21
4,2003/7/28
0,2003/8/4
0,2003/8/11
0,2003/8/18
1,2003/8/25
2,2003/9/1
1,2003/9/8
2,2003/9/15
0,2003/9/22
0,2003/9/29
0,2003/10/6
1,2003/10/13
0,2003/10/20
1,2003/10/27
1,2003/11/3
1,2003/11/10
1,2003/11/17
2,2003/11/24
1,2003/12/1
1,2003/12/8
1,2003/12/15
3,2003/12/22
0,2003/12/29
1,2004/1/5
2,2004/1/12
2,2004/1/19
1,2004/1/26
2,2004/2/2
2,2004/2/9
1,2004/2/16
1,2004/2/23
1,2004/3/1
0,2004/3/8
1,2004/3/15
2,2004/3/22
1,2004/3/29
1,2004/4/5
2,2004/4/12
1,2004/4/19
1,2004/4/26
2,2004/5/3
0,2004/5/10
0,2004/5/17
0,2004/5/24
3,2004/5/31
2,2004/6/7
3,2004/6/14
0,2004/6/21
0,2004/6/28
2,2004/7/5
1,2004/7/12
2,2004/7/19
2,2004/7/26
2,2004/8/2
2,2004/8/9
0,2004/8/16
1,2004/8/23
0,2004/8/30
1,2004/9/6
2,2004/9/13
2,2004/9/20
0,2004/9/27
4,2004/10/4
1,2004/10/11
0,2004/10/18
1,2004/10/25
0,2004/11/1
0,2004/11/8
3,2004/11/15
2,2004/11/22
1,2004/11/29
0,2004/12/6
4,2004/12/13
0,2004/12/20
0,2004/12/27
1,2005/1/3
0,2005/1/10
2,2005/1/17
3,2005/1/24
5,2005/1/31
2,2005/2/7
1,2005/2/14
1,2005/2/21
1,2005/2/28
2,2005/3/7
4,2005/3/14
0,2005/3/21
0,2005/3/28
3,2005/4/4
0,2005/4/11
2,2005/4/18
1,2005/4/25
1,2005/5/2
1,2005/5/9
3,2005/5/16
1,2005/5/23
1,2005/5/30
0,2005/6/6
1,2005/6/13
0,2005/6/20
2,2005/6/27
2,2005/7/4
0,2005/7/11
1,2005/7/18
4,2005/7/25
0,2005/8/1
2,2005/8/8
2,2005/8/15
1,2005/8/22
1,2005/8/29
2,2005/9/5
1,2005/9/12
1,2005/9/19
1,2005/9/26
4,2005/10/3
3,2005/10/10
2,2005/10/17
5,2005/10/24
6,2005/10/31
7,2005/11/7
2,2005/11/14
1,2005/11/21
2,2005/11/28
5,2005/12/5
1,2005/12/12
3,2005/12/19
1,2005/12/26
1,2006/1/2
1,2006/1/9
1,2006/1/16
3,2006/1/23
4,2006/1/30
1,2006/2/6
2,2006/2/13
1,2006/2/20
0,2006/2/27
3,2006/3/6
1,2006/3/13
1,2006/3/20
0,2006/3/27
4,2006/4/3
1,2006/4/10
3,2006/4/17
1,2006/4/24
1,2006/5/1
3,2006/5/8
3,2006/5/15
2,2006/5/22
3,2006/5/29
0,2006/6/5
8,2006/6/12
0,2006/6/19
2,2006/6/26
3,2006/7/3
4,2006/7/10
7,2006/7/17
5,2006/7/24
8,2006/7/31
1,2006/8/7
1,2006/8/14
3,2006/8/21
3,2006/8/28
3,2006/9/4
3,2006/9/11
4,2006/9/18
1,2006/9/25
5,2006/10/2
2,2006/10/9
2,2006/10/16
3,2006/10/23
3,2006/10/30
5,2006/11/6
4,2006/11/13
1,2006/11/20
1,2006/11/27
1,2006/12/4
3,2006/12/11
1,2006/12/18
5,2006/12/25
1,2007/1/1
3,2007/1/8
1,2007/1/15
0,2007/1/22
2,2007/1/29
0,2007/2/5
3,2007/2/12
0,2007/2/19
4,2007/2/26
2,2007/3/5
1,2007/3/12
5,2007/3/19
2,2007/3/26
2,2007/4/2
1,2007/4/9
4,2007/4/16
4,2007/4/23
1,2007/4/30
6,2007/5/7
4,2007/5/14
3,2007/5/21
4,2007/5/28
3,2007/6/4
2,2007/6/11
3,2007/6/18
3,2007/6/25
4,2007/7/2
4,2007/7/9
1,2007/7/16
3,2007/7/23
5,2007/7/30
6,2007/8/6
2,2007/8/13
1,2007/8/20
6,2007/8/27
3,2007/9/3
5,2007/9/10
4,2007/9/17
3,2007/9/24
6,2007/10/1
3,2007/10/8
3,2007/10/15
6,2007/10/22
10,2007/10/29
4,2007/11/5
2,2007/11/12
1,2007/11/19
2,2007/11/26
5,2007/12/3
4,2007/12/10
1,2007/12/17
4,2007/12/24
0,2007/12/31
2,2008/1/7
3,2008/1/14
5,2008/1/21
3,2008/1/28
0,2008/2/4
1,2008/2/11
4,2008/2/18
6,2008/2/25
3,2008/3/3
4,2008/3/10
7,2008/3/17
4,2008/3/24
3,2008/3/31
4,2008/4/7
4,2008/4/14
3,2008/4/21
3,2008/4/28
3,2008/5/5
3,2008/5/12
4,2008/5/19
7,2008/5/26
9,2008/6/2
7,2008/6/9
7,2008/6/16
0,2008/6/23
3,2008/6/30
5,2008/7/7
3,2008/7/14
4,2008/7/21
5,2008/7/28
3,2008/8/4
3,2008/8/11
3,2008/8/18
3,2008/8/25
10,2008/9/1
3,2008/9/8
1,2008/9/15
4,2008/9/22
4,2008/9/29
2,2008/10/6
5,2008/10/13
3,2008/10/20
3,2008/10/27
2,2008/11/3
6,2008/11/10
3,2008/11/17
4,2008/11/24
4,2008/12/1
11,2008/12/8
5,2008/12/15
4,2008/12/22
0,2008/12/29
2,2009/1/5
1,2009/1/12
10,2009/1/19
4,2009/1/26
4,2009/2/2
5,2009/2/9
4,2009/2/16
2,2009/2/23
6,2009/3/2
6,2009/3/9
6,2009/3/16
3,2009/3/23
5,2009/3/30
3,2009/4/6
9,2009/4/13
5,2009/4/20
4,2009/4/27
1,2009/5/4
1,2009/5/11
4,2009/5/18
6,2009/5/25
7,2009/6/1
4,2009/6/8
3,2009/6/15
6,2009/6/22
3,2009/6/29
3,2009/7/6
0,2009/7/13
5,2009/7/20
2,2009/7/27
6,2009/8/3
1,2009/8/10
1,2009/8/17
9,2009/8/24
4,2009/8/31
0,2009/9/7
5,2009/9/14
2,2009/9/21
3,2009/9/28
2,2009/10/5
4,2009/10/12
2,2009/10/19
4,2009/10/26
4,2009/11/2
2,2009/11/9
2,2009/11/16
1,2009/11/23
6,2009/11/30
7,2009/12/7
2,2009/12/14
4,2009/12/21
1,2009/12/28
1,2010/1/4
3,2010/1/11
2,2010/1/18
5,2010/1/25
1,2010/2/1
2,2010/2/8
5,2010/2/15
2,2010/2/22
