Y,date
7,2008/1/7
16,2008/1/14
30,2008/1/21
43,2008/1/28
47,2008/2/4
53,2008/2/11
72,2008/2/18
95,2008/2/25
69,2008/3/3
65,2008/3/10
54,2008/3/17
52,2008/3/24
44,2008/3/31
43,2008/4/7
32,2008/4/14
43,2008/4/21
45,2008/4/28
35,2008/5/5
49,2008/5/12
34,2008/5/19
22,2008/5/26
26,2008/6/2
30,2008/6/9
16,2008/6/16
18,2008/6/23
20,2008/6/30
17,2008/7/7
17,2008/7/14
14,2008/7/21
7,2008/7/28
5,2008/8/4
4,2008/8/11
5,2008/8/18
5,2008/8/25
5,2008/9/1
4,2008/9/8
2,2008/9/15
2,2008/9/22
3,2008/9/29
1,2008/10/6
0,2008/10/13
4,2008/10/20
2,2008/10/27
3,2008/11/3
2,2008/11/10
1,2008/11/17
0,2008/11/24
3,2008/12/1
2,2008/12/8
3,2008/12/15
0,2008/12/22
0,2008/12/29
0,2009/1/5
3,2009/1/12
4,2009/1/19
4,2009/1/26
3,2009/2/2
2,2009/2/9
1,2009/2/16
2,2009/2/23
1,2009/3/2
2,2009/3/9
2,2009/3/16
2,2009/3/23
3,2009/3/30
0,2009/4/6
2,2009/4/13
2,2009/4/20
5,2009/4/27
2,2009/5/4
4,2009/5/11
6,2009/5/18
2,2009/5/25
4,2009/6/1
2,2009/6/8
3,2009/6/15
3,2009/6/22
5,2009/6/29
3,2009/7/6
2,2009/7/13
3,2009/7/20
0,2009/7/27
3,2009/8/3
1,2009/8/10
6,2009/8/17
0,2009/8/24
0,2009/8/31
1,2009/9/7
6,2009/9/14
0,2009/9/21
4,2009/9/28
2,2009/10/5
1,2009/10/12
1,2009/10/19
0,2009/10/26
4,2009/11/2
1,2009/11/9
2,2009/11/16
0,2009/11/23
0,2009/11/30
1,2009/12/7
0,2009/12/14
0,2009/12/21
0,2009/12/28
1,2010/1/4
0,2010/1/11
1,2010/1/18
0,2010/1/25
2,2010/2/1
1,2010/2/8
1,2010/2/15
0,2010/2/22
2,2010/3/1
1,2010/3/8
1,2010/3/15
1,2010/3/22
3,2010/3/29
0,2010/4/5
4,2010/4/12
1,2010/4/19
3,2010/4/26
1,2010/5/3
3,2010/5/10
1,2010/5/17
3,2010/5/24
2,2010/5/31
4,2010/6/7
3,2010/6/14
2,2010/6/21
2,2010/6/28
6,2010/7/5
1,2010/7/12
3,2010/7/19
0,2010/7/26
1,2010/8/2
0,2010/8/9
3,2010/8/16
1,2010/8/23
1,2010/8/30
1,2010/9/6
0,2010/9/13
0,2010/9/20
3,2010/9/27
